ER,CTR,all_text,LAR,all_objects_count,unique_objects_count,cta_text,cta_width,cta_height,red,green,blue,logo_width,logo_height,eng_width,eng_height,preview_width,preview_height
0.2092687099914451,0.0584383020148086,"PHILADELPHIA AREA 1EXUS DEALERS Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS WILKIE LEXUS 568 WEST LANCASTER AVE HAVERFORD PA V Care Haverford LEARN MORE Ovexus L/CERTIFIED BY LEXUS TAP THE SCREEN to find the nearest Lexus dealership TAP THE SCREEN to find the nearest Lexus dealership Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS THOMPSON LEXUS WILLOW GROVE 2560 MARYLAND RD WILLOWGROVE PA Ovexus L/CERTIFIED BY LEXUS Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS LEXUS OF LEHIGH VALLEY 4500 BROADWAY ALLENTOWN PA Br Bay z@ va s a g 8 8 3 Bo 2divay Cetronia Ambulance Corps ""as West"" | Center 4 ET 4 EE Lwleareas =  G = 4.",0.0,9,2,LEARN MORE,64.0,300.0,23.0,37.0,25.0,0,0,466,77,0,0
0.2745519713261649,0.0747311827956989,"Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS LEXUS OF CHERRY HILL 1230 ROUTE 73 SOUTH MT. LAUREL NJ oO huren Ry & | 4 ae y ye 28 Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS WILKIE LEXUS 568 WEST LANCASTER AVE HAVERFORD PA V Care Haverford LEARN MORE Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS THOMPSON LEXUS WILLOW GROVE 2560 MARYLAND RD WILLOWGROVE PA Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS LEXUS OF CHESTER SPRINGS 400 POTTSTOWN PIKE CHESTER SPRINGS PA \\ ( 3 ( & 3 9 6 \\ 3 fay \\ & 5 2 % 2 \\ \\@ 2 \\ \\ Ovexus L/CERTIFIED BY LEXUS TAP THE SCREEN to find the nearest Lexus dealership TAP THE SCREEN to find the nearest Lexus dealership Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS THOMPSON LEXUS DOYLESTOWN 50 WEST SWAMP ROAD DOYLESTOWN PA 3° 8 N Easton rg nS Ovexus L/CERTIFIED BY LEXUS Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS LEXUS OF ATLANTIC CITY 3169 FIRE ROAD EGG HARBOR TOWNSHIP NJ a ce & “ é & S SS e & ss & } 4 & > &§ a Xo sg © 4 se © § Ovexus L/CERTIFIED BY LEXUS PHILADELPHIA AREA LEXUS DEALERS LEXUS OF LEHIGH VALLEY 4500 BROADWAY ALLENTOWN PA Br Bay z@ va s a g 8 8 3 Bo 2divay Cetronia Ambulance Corps ""as West"" | Center 4 ET 4 EE Lwleareas =  G = 4. PHILADELPHIA AREA 1EXUS DEALERS",0.0,13,2,LEARN MORE,64.0,300.0,23.0,37.0,25.0,0,0,466,77,0,0
0.1036884084375885,0.0422284303008218,PHILADELPHIA AREA 1 EXUS DEALERS Ovexus L/CERTIFIED BY LEXUS KOONS LEXUS OF WILMINGTON 2100 PENNSYLVANIA AVE WILMINGTON DE LEARN MORE Ovexus L/CERTIFIED BY LEXUS TAP THE SCREEN to find the nearest Lexus dealership Ovexus L/CERTIFIED BY LEXUS THOMPSON LEXUS WILLOW GROVE 2560 MARYLAND RD WILLOWGROVE PA 5 ~ _ $ (611) 9 > pi \\ e\\ TAP THE SCREEN to find the nearest Lexus dealership Ovexus L/CERTIFIED BY LEXUS Ovexus L/CERTIFIED BY LEXUS LEXUS OF LEHIGH VALLEY 4500 BROADWAY ALLENTOWN PA Ovexus L/CERTIFIED BY LEXUS THOMPSON LEXUS WILLOW GROVE 2560 MARYLAND RD WILLOWGROVE PA 611,0.0,11,2,LEARN MORE,50.0,234.0,23.0,37.0,25.0,0,0,380,63,0,0
0.1369626263001379,0.0053933765450966,(= POR OOK aU     2025 PACKAGING COMMITMENT FEED CONFIDENTLY WITH...          / PURINA EXPERTISE COMPLETE & BALANCED 2025 PACKAGING COMMITMENT i qa PURINA Your Pet Our Passion:,0.0788276119444552,6,4,,79.0,227.0,149.0,78.0,65.0,244,174,0,0,859, 627
0.1142080395980201,0.0164429278536073,N THEATERS FUERYWHERPRIL 2024 Te SUS THE NEW AGE OF CAGE Masa eA,0.1238166666666666,8,1,Te,60.0,206.0,128.0,191.0,254.0,323,115,0,0,500, 600
0.037748417897191,0.0045076051959586,"RYAN REYNOLDS AS MICHAEL BRYCE nA | Guan Ty Mm maT a RCD ae Ta ee TO SEE YOUR FAVORITE PL TA a Ea TA SAMUEL SALMA ANTONI. so MORGAN REYNOLDS JACKSON HAYEK BANDERAS FREEMAN ""*HITMANS"" HOOVGUARD x nT",0.1531703703703703,17,6,nT nA,69.5,411.0,101.0,101.0,101.0,422,196,369,169,900, 600
0.0940641753658177,0.004465753114126,ENTREZ DANS LA CONFIDENCE | F PASTIS FAIT MAIN EN SAVOIR PLUS ENTREZ DANS LA CONFIDENCE ANU SHO Ree me c1 MOY Weleda Uae A CONSOMMER AVEC MODERATION ENTREZ DANS LA CONFIDENCE                  Balin LE PASTIS GRAND CRU -4 MAITRES. 1 SECRET: EN SAVOIR PLUS GLISSEZ POUR DECOUVRIR SON SECRET Be \\eilicee Re RSI cla el aU er A CONSOMMER AVEC MODERATION ENTREZ DANS LA CONFIDENCE BARDO UIN,0.0,13,4,ENTREZ DANS LA CONFIDENCE EN SAVOIR PLUS ENTREZ DANS LA CONFIDENCE ENTREZ DANS LA CONFIDENCE ENTREZ DANS LA CONFIDENCE EN SAVOIR PLUS,46.0,362.0,114.0,109.0,70.0,0,0,0,0,0,0
0.0319713573242433,1.4706987780127264e-05,> 42) 3>1) 1 Cel ON > P eee QO SOLVE THE PUZZLE,0.05555,9,2,,60.0,199.0,193.0,207.0,194.0,303,55,0,0,500, 600
0.067083454845922,0.0127758335763585,eB PlayStation. Mas informacion Mas informacion eB PlayStation. DESLIZA HACIA ABAJO Cada movimiento es crucial 2 DESLIZA HACIA ABAJO Cada movimiento es crucial PlayStation. 5 SONA NUEa GNA Iss okey LAMARCA DE LAFAMILIA SN ah NES VO em am Re lcloy aT ce) i TN eee) Me ela) MPM LUE ACO sire) USS ce eK eel ens) ase) V2 INTERACTIVE ENTERTAINMENT INC-TODOS LOS JUEGOS MOSTRADOS SON PROPIEDAD COMERCIAL O PROPIEDAD PROTEGIDA BAJO DERECHOS DE AUTOR DE SUS RESPECTIVOS. DISTRIBUIDORES Y/O TITULARES DE LICENCIA. & PlayStation.,0.1644444444444444,7,3,Mas informacion Mas informacion,77.0,347.0,175.0,137.0,109.0,600,148,464,70,900, 600
0.0,0.0,Tei mM ilet element A Bon nouvel! Now you can send money to bank accounts in Haiti! Funds received in USD. Swipe right To explore a new way to send money to Haiti WesternUnion\\WU,0.0,0,0,,,,,,,0,0,0,0,0,0
